REGMAP,DISMAP,REGPOL,DISPOL
ARUSHA,ARUMERU,ARUSHA,WILAYA YA MERU
ARUSHA,ARUSHA,ARUSHA,WILAYA YA ARUSHA
ARUSHA,KARATU,ARUSHA,WILAYA YA KARATU
ARUSHA,MONDULI,ARUSHA,WILAYA YA MONDULI
ARUSHA,NGORONGORO,ARUSHA,WILAYA YA NGORONGORO
ARUSHA,SIMANJIRO,ARUSHA,NA
DAR-ES-SALAAM,ILALA,DAR-ES-SALAAM,MANISPAA YA ILALA
DAR-ES-SALAAM,KINONDONI,DAR-ES-SALAAM,MANISPAA YA KINONDONI
DAR-ES-SALAAM,TEMEKE,DAR-ES-SALAAM,MANISPAA YA TEMEKE
DODOMA,DODOMA RURAL,DODOMA,NA
DODOMA,DODOMA URBAN,DODOMA,MANISPAA YA DODOMA
DODOMA,KONDOA,DODOMA,WILAYA YA KONDOA
DODOMA,KONGWA,DODOMA,WILAYA YA KONGWA
DODOMA,MPWAPWA,DODOMA,WILAYA YA MPWAPWA
IRINGA,IRINGA RURAL,IRINGA,WILAYA YA IRINGA
IRINGA,IRINGA URBAN,IRINGA,MANISPAA YA IRINGA
IRINGA,KILOLO,IRINGA,WILAYA YA KILOLO
IRINGA,KILOSA,IRINGA,NA
IRINGA,LUDEWA,IRINGA,WILAYA YA LUDEWA
IRINGA,MAKETE,IRINGA,WILAYA YA MAKETE
IRINGA,MUFINDI,IRINGA,NA
IRINGA,NJOMBE,IRINGA,WILAYA YA NJOMBE
KAGERA,BIHARAMULO,KAGERA,WILAYA YA BIHARAMULO
KAGERA,BUKOBA RURAL,KAGERA,WILAYA YA BUKOBA
KAGERA,BUKOBA URBAN,KAGERA,MANISPAA YA BUKOBA
KAGERA,KARAGWE,KAGERA,WILAYA YA KARAGWE
KAGERA,LAKE VICTORIA,KAGERA,NA
KAGERA,MULEBA,KAGERA,WILAYA YA MULEBA
KAGERA,NGARA,KAGERA,WILAYA YA NGARA
KIGOMA,KASULU,KIGOMA,WILAYA YA KASULU
KIGOMA,KIBONDO,KIGOMA,WILAYA YA KIBONDO
KIGOMA,KIGOMA RURAL,KIGOMA,WILAYA YA KIGOMA
KIGOMA,KIGOMA URBAN,KIGOMA,MANISPAA YA KIGOMA/UJIJI
KIGOMA,LAKE TANGANYIKA,KIGOMA,NA
KILIMANJARO,HAI,KILIMANJARO,WILAYA YA HAI
KILIMANJARO,MOSHI RURAL,KILIMANJARO,WILAYA YA MOSHI
KILIMANJARO,MOSHI URBAN,KILIMANJARO,MANISPAA YA MOSHI
KILIMANJARO,MWANGA,KILIMANJARO,WILAYA YA MWANGA
KILIMANJARO,ROMBO,KILIMANJARO,WILAYA YA ROMBO
KILIMANJARO,SAME,KILIMANJARO,WILAYA YA SAME
LINDI,KILWA,LINDI,WILAYA YA KILWA
LINDI,LINDI RURAL,LINDI,WILAYA YA LINDI
LINDI,LINDI URBAN,LINDI,MJI WA LINDI
LINDI,LIWALE,LINDI,WILAYA YA LIWALE
LINDI,NACHINGWEA,LINDI,WILAYA YA NACHINGWEA
LINDI,RUANGWA,LINDI,WILAYA YA RUANGWA
MANYARA,BABATI,MANYARA,WILAYA YA BABATI
MANYARA,HANANG,MANYARA,WILAYA YA HANANG
MANYARA,KARATU,MANYARA,NA
MANYARA,KITETO,MANYARA,WILAYA YA KITETO
MANYARA,MBULU,MANYARA,WILAYA YA MBULU
MANYARA,SIMANJIRO,MANYARA,WILAYA YA SIMANJIRO
MARA,BUNDA,MARA,WILAYA YA BUNDA
MARA,LAKE VICTORIA,MARA,NA
MARA,MUSOMA RURAL,MARA,WILAYA YA MUSOMA
MARA,MUSOMA URBAN,MARA,MANISPAA YA MUSOMA
MARA,SERENGETI,MARA,WILAYA YA SERENGETI
MARA,TARIME,MARA,WILAYA YA TARIME
MBEYA,CHUNYA,MBEYA,WILAYA YA CHUNYA
MBEYA,ILEJE,MBEYA,WILAYA YA ILEJE
MBEYA,KYELA,MBEYA,WILAYA YA KYELA
MBEYA,MBARALI,MBEYA,WILAYA YA MBARALI
MBEYA,MBEYA RURAL,MBEYA,WILAYA YA MBEYA
MBEYA,MBEYA URBAN,MBEYA,JIJI LA MBEYA
MBEYA,MBOZI,MBEYA,WILAYA YA MBOZI
MBEYA,RUNGWE,MBEYA,WILAYA YA RUNGWE
MOROGORO,KILOMBERO,MOROGORO,WILAYA YA KILOMBERO
MOROGORO,KILOSA,MOROGORO,WILAYA YA KILOSA
MOROGORO,MOROGORO RURAL,MOROGORO,WILAYA YA MOROGORO
MOROGORO,MOROGORO URBAN,MOROGORO,MANISPAA YA MOROGORO
MOROGORO,MVOMERO,MOROGORO,WILAYA YA MVOMERO
MOROGORO,ULANGA,MOROGORO,WILAYA YA ULANGA
MTWARA,MASASI,MTWARA,WILAYA YA MASASI
MTWARA,MTWARA RURAL,MTWARA,WILAYA YA MTWARA
MTWARA,MTWARA URBAN,MTWARA,NA
MTWARA,NEWALA,MTWARA,WILAYA YA NEWALA
MTWARA,TANDAHIMBA,MTWARA,WILAYA YA TANDAHIMBA
MWANZA,GEITA,MWANZA,WILAYA YA GEITA
MWANZA,ILEMELA,MWANZA,NA
MWANZA,KWIMBA,MWANZA,WILAYA YA KWIMBA
MWANZA,LAKE VICTORIA,MWANZA,NA
MWANZA,MAGU,MWANZA,WILAYA YA MAGU
MWANZA,MISUNGWI,MWANZA,WILAYA YA MISUNGWI
MWANZA,NYAMAGANA,MWANZA,NA
MWANZA,SENGEREMA,MWANZA,WILAYA YA SENGEREMA
MWANZA,UKEREWE,MWANZA,WILAYA YA UKEREWE
PWANI,BAGAMOYO,PWANI,WILAYA YA BAGAMOYO
PWANI,KIBAHA,PWANI,WILAYA YA KIBAHA
PWANI,KISARAWE,PWANI,WILAYA YA KISARAWE
PWANI,MAFIA,PWANI,WILAYA YA MAFIA
PWANI,MKURANGA,PWANI,WILAYA YA MKURANGA
PWANI,RUFIJI,PWANI,WILAYA YA RUFIJI
RUKWA,MPANDA,RUKWA,WILAYA YA MPANDA
RUKWA,NKASI,RUKWA,WILAYA YA NKASI
RUKWA,SUMBAWANGA RURAL,RUKWA,WILAYA YA SUMBAWANGA
RUKWA,SUMBAWANGA URBAN,RUKWA,MANISPAA YA SUMBAWANGA
RUVUMA,MBINGA,RUVUMA,WILAYA YA MBINGA
RUVUMA,NAMTUMBO,RUVUMA,WILAYA YA NAMTUMBO
RUVUMA,SONGEA RURAL,RUVUMA,WILAYA YA SONGEA
RUVUMA,SONGEA URBAN,RUVUMA,MANISPAA YA SONGEA
RUVUMA,TUNDURU,RUVUMA,WILAYA YA TUNDURU
SHINYANGA,BARIADI,SHINYANGA,WILAYA YA BARIADI
SHINYANGA,BUKOMBE,SHINYANGA,WILAYA YA BUKOMBE
SHINYANGA,KAHAMA,SHINYANGA,WILAYA YA KAHAMA
SHINYANGA,KISHAPU,SHINYANGA,WILAYA YA KISHAPU
SHINYANGA,MASWA,SHINYANGA,WILAYA YA MASWA
SHINYANGA,MEATU,SHINYANGA,WILAYA YA MEATU
SHINYANGA,SHINYANGA RURAL,SHINYANGA,WILAYA YA SHINYANGA
SHINYANGA,SHINYANGA URBAN,SHINYANGA,MANISPAA YA SHINYANGA
SINGIDA,IRAMBA,SINGIDA,WILAYA YA IRAMBA
SINGIDA,MANYONI,SINGIDA,WILAYA YA MANYONI
SINGIDA,SINGIDA RURAL,SINGIDA,WILAYA YA SINGIDA
SINGIDA,SINGIDA URBAN,SINGIDA,MANISPAA YA SINGIDA
TABORA,IGUNGA,TABORA,WILAYA YA IGUNGA
TABORA,N.A. ( 1081),TABORA,NA
TABORA,NZEGA,TABORA,WILAYA YA NZEGA
TABORA,SIKONGE,TABORA,WILAYA YA SIKONGE
TABORA,TABORA URBAN,TABORA,MANISPAA YA TABORA
TABORA,URAMBO,TABORA,WILAYA YA URAMBO
TABORA,UYUI,TABORA,NA
TANGA,HANDENI,TANGA,WILAYA YA HANDENI
TANGA,KILINDI,TANGA,WILAYA YA KILINDI
TANGA,KOROGWE,TANGA,WILAYA YA KOROGWE
TANGA,LUSHOTO,TANGA,WILAYA YA LUSHOTO
TANGA,MUHEZA,TANGA,WILAYA YA MUHEZA
TANGA,PANGANI,TANGA,WILAYA YA PANGANI
TANGA,TANGA,TANGA,JIJI LA TANGA
